QueryTaxID,TaxID,Rank,ScientificName
10614,2731342,clade,Monodnaviria
10614,2732092,kingdom,Shotokuvirae
10614,2732415,phylum,Cossaviricota
10614,2732421,class,Papovaviricetes
10614,2732533,order,Zurhausenvirales
10614,151340,family,Papillomaviridae
10614,2169595,subfamily,Firstpapillomavirinae
10614,333750,genus,Alphapapillomavirus
10614,337039,species,Alphapapillomavirus 2
QueryTaxID,TaxID,Rank,ScientificName
10615,10615,serotype,human papillomavirus 40
10615,10239,superkingdom,Viruses
10615,2731342,clade,Monodnaviria
10615,2732092,kingdom,Shotokuvirae
10615,2732415,phylum,Cossaviricota
10615,2732421,class,Papovaviricetes
10615,2732533,order,Zurhausenvirales
10615,151340,family,Papillomaviridae
10615,2169595,subfamily,Firstpapillomavirinae
10615,333750,genus,Alphapapillomavirus
10615,333757,species,Alphapapillomavirus 8
QueryTaxID,TaxID,Rank,ScientificName
10616,10616,serotype,Human papillomavirus type 49
10616,10239,superkingdom,Viruses
10616,2731342,clade,Monodnaviria
10616,2732092,kingdom,Shotokuvirae
10616,2732415,phylum,Cossaviricota
10616,2732421,class,Papovaviricetes
10616,2732533,order,Zurhausenvirales
10616,151340,family,Papillomaviridae
10616,2169595,subfamily,Firstpapillomavirinae
10616,333922,genus,Betapapillomavirus
10616,334207,species,Betapapillomavirus 3
QueryTaxID,TaxID,Rank,ScientificName
10617,10617,serotype,Human papillomavirus 4
10617,10239,superkingdom,Viruses
10617,2731342,clade,Monodnaviria
10617,2732092,kingdom,Shotokuvirae
10617,2732415,phylum,Cossaviricota
10617,2732421,class,Papovaviricetes
10617,2732533,order,Zurhausenvirales
10617,151340,family,Papillomaviridae
10617,2169595,subfamily,Firstpapillomavirinae
10617,325455,genus,Gammapapillomavirus
10617,333926,species,Gammapapillomavirus 1
QueryTaxID,TaxID,Rank,ScientificName
10618,10618,serotype,human papillomavirus 52
10618,10239,superkingdom,Viruses
10618,2731342,clade,Monodnaviria
10618,2732092,kingdom,Shotokuvirae
10618,2732415,phylum,Cossaviricota
10618,2732421,class,Papovaviricetes
10618,2732533,order,Zurhausenvirales
10618,151340,family,Papillomaviridae
10618,2169595,subfamily,Firstpapillomavirinae
10618,333750,genus,Alphapapillomavirus
10618,337041,species,Alphapapillomavirus 9
QueryTaxID,TaxID,Rank,ScientificName
10620,10620,serotype,Human papillomavirus type 7
10620,10239,superkingdom,Viruses
10620,2731342,clade,Monodnaviria
10620,2732092,kingdom,Shotokuvirae
10620,2732415,phylum,Cossaviricota
10620,2732421,class,Papovaviricetes
10620,2732533,order,Zurhausenvirales
10620,151340,family,Papillomaviridae
10620,2169595,subfamily,Firstpapillomavirinae
10620,333750,genus,Alphapapillomavirus
10620,333757,species,Alphapapillomavirus 8
QueryTaxID,TaxID,Rank,ScientificName
10621,10621,serotype,Human papillomavirus 9
10621,10239,superkingdom,Viruses
10621,2731342,clade,Monodnaviria
10621,2732092,kingdom,Shotokuvirae
10621,2732415,phylum,Cossaviricota
10621,2732421,class,Papovaviricetes
10621,2732533,order,Zurhausenvirales
10621,151340,family,Papillomaviridae
10621,2169595,subfamily,Firstpapillomavirinae
10621,333922,genus,Betapapillomavirus
10621,333924,species,Betapapillomavirus 2
QueryTaxID,TaxID,Rank,ScientificName
